Classifier,Cross_Validation_Accuracy
Logistic Regression,0.289600072
SVM,0.286981932
SVM,0.281779434
SGD,0.274617554
Logistic Regression,0.271289983
Logistic Regression,0.271289983
Logistic Regression,0.271284353
Logistic Regression,0.271273092
Logistic Regression,0.271008463
Logistic Regression,0.270997202
Logistic Regression,0.27098031
Logistic Regression,0.27097468
Gaussian Naive Bayes,0.27096905
SVM,0.269347492
SVM,0.265890421
Gaussian Naive Bayes,0.263204716
QDA,0.261954765
Logistic Regression,0.255282731
Logistic Regression,0.253846977
SGD,0.247231247
Logistic Regression,0.240474756
Gaussian Naive Bayes,0.233994156
Logistic Regression,0.231674427
SVM,0.22771062
Gaussian Naive Bayes,0.225869476
SVM,0.219073573
QDA,0.197762476
SVM,0.186867635
SVM,0.186777548
QDA,0.182363308
QDA,0.181237226
QDA,0.180905032
QDA,0.18073612
QDA,0.180724859
QDA,0.166733293
QDA,0.156885708
SVM,0.149718198
QDA,0.144814112
QDA,0.144042746
QDA,0.130985828
Gaussian Naive Bayes,0.077294251
SVM,0.076342712
SGD,0.075064609
Gaussian Naive Bayes,0.060020157
QDA,0.051163524
QDA,0.049485662
Gaussian Naive Bayes,0.039418491
QDA,0.037453479
QDA,0.034621383
QDA,0.033737409
QDA,0.03320252
QDA,0.026659985
QDA,0.025263644
QDA,0.025252383
Gaussian Naive Bayes,0.024920189
Gaussian Naive Bayes,0.024678081
Gaussian Naive Bayes,0.02383352
Gaussian Naive Bayes,0.023625195
QDA,0.023411239
QDA,0.023112828
QDA,0.02080436
Gaussian Naive Bayes,0.020652339
Gaussian Naive Bayes,0.020579144
Gaussian Naive Bayes,0.019255998
Gaussian Naive Bayes,0.019070194
Gaussian Naive Bayes,0.019019521
QDA,0.019002629
Gaussian Naive Bayes,0.018957586
Gaussian Naive Bayes,0.018631022
Gaussian Naive Bayes,0.018580349
QDA,0.01763444
QDA,0.015995991
Gaussian Naive Bayes,0.015365385
Gaussian Naive Bayes,0.015269668
Gaussian Naive Bayes,0.015038822
Gaussian Naive Bayes,0.015038822
QDA,0.014791084
Gaussian Naive Bayes,0.009802542
QDA,0.00014076
QDA,0.00014076
